id,course_number,course_name,created_at,updated_at
60,34702,Private Equity/Venture Capital Lab,2017-11-15 03:29:33 UTC,2017-11-15 03:29:33 UTC
61,34704,Real Estate Lab: Real Estate Challenge,2017-11-15 03:29:33 UTC,2017-11-15 03:29:33 UTC
62,34705,Entrepreneurial Discovery,2017-11-15 03:29:33 UTC,2017-11-15 03:29:33 UTC
63,34706,Energy and CleanTech Lab,2017-11-15 03:29:33 UTC,2017-11-15 03:29:33 UTC
64,34721,Global Social Impact Practicum,2017-11-15 03:29:33 UTC,2017-11-15 03:29:33 UTC
65,34722,Scaling Social Innovation Search Lab,2017-11-15 03:29:33 UTC,2017-11-15 03:29:33 UTC
66,35000,Investments,2017-11-15 03:29:33 UTC,2017-11-15 03:29:33 UTC
67,35001,Introductory Finance,2017-11-15 03:29:33 UTC,2017-11-15 03:29:33 UTC
68,35100,Financial Instruments,2017-11-15 03:29:33 UTC,2017-11-15 03:29:33 UTC
69,35101,"Futures, Forwards, Options and Swaps: Theory and Practice",2017-11-15 03:29:33 UTC,2017-11-15 03:29:33 UTC
70,35120,Portfolio Management,2017-11-15 03:29:33 UTC,2017-11-15 03:29:33 UTC
71,35121,Behavioral Finance,2017-11-15 03:29:33 UTC,2017-11-15 03:29:33 UTC
72,35122,Hedge Fund Investing,2017-11-15 03:29:33 UTC,2017-11-15 03:29:33 UTC
73,35123,The FinTech Revolution,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
74,35125,Quantimental Investment,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
75,35130,Fixed Income Asset Pricing,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
76,35132,Advanced Models of Option Pricing and Credit Risk,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
77,35134,Fixed Income Investments: Corporate and Sovereign Bonds,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
78,35200,Corporation Finance,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
79,35201,Cases in Financial Management,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
80,35202,Financial Markets and Institutions,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
81,35210,International Corporate Finance,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
82,35211,The Analytics of Financial Crises,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
83,35214,"Debt, Distress, and Restructuring",2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
84,35215,Behavioral and Institutional Finance,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
85,35219,Chinese Economy and Financial Markets,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
86,35600,Seminar:  Finance,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
